Year,ID,LaborStatus,OccupationalPrestigeScore,MaritalStatus,NumChildren,Age,HighestSchoolCompleted,Sex,Race,ChildhoodFamilyIncome,TotalFamilyIncome,RespondentIncome,PoliticalParty,OpinionOfIncome,SexualOrientation
2014,49,Working fulltime,0,Married,0,32.000000,15,Female,White,Average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,50,Working fulltime,0,Married,2,32.000000,14,Male,Other,Far below average,$25000 or more,$25000 or more,Not str democrat,Below average,Bisexual
2014,51,Working fulltime,0,Married,3,52.000000,18,Female,White,Above average,$25000 or more,$25000 or more,Independent,Above average,Heterosexual or straight
2014,52,Working fulltime,0,Married,1,42.000000,16,Male,White,Average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,53,Working fulltime,0,Married,0,29.000000,14,Male,Other,Far below average,$25000 or more,$25000 or more,Strong democrat,Below average,Heterosexual or straight
2014,54,Keeping house,0,Widowed,3,81.000000,12,Female,White,Average,$25000 or more,Not applicable,Independent,Above average,Heterosexual or straight
2014,55,Working fulltime,0,Married,1,51.000000,18,Male,Other,Above average,$25000 or more,$25000 or more,Not str republican,Above average,Heterosexual or straight
2014,56,Working parttime,0,Never married,0,24.000000,17,Female,Black,Below average,$6000 to 6999,$1000 to 2999,Strong democrat,Below average,Heterosexual or straight
2014,57,Retired,0,Widowed,0,63.000000,15,Female,White,Average,$10000 - 14999,Not applicable,Not str republican,Far below average,Bisexual
2014,58,Working fulltime,0,Never married,0,44.000000,18,Female,White,Average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,59,Working fulltime,0,Never married,0,56.000000,18,Female,White,Average,$25000 or more,$25000 or more,Strong republican,Above average,"Gay, lesbian, or homosexual"
2014,60,Keeping house,0,Married,1,43.000000,16,Female,Other,Average,$25000 or more,Not applicable,Strong democrat,Above average,Heterosexual or straight
2014,61,Working parttime,0,Never married,0,51.000000,16,Male,White,Average,$20000 - 24999,$20000 - 24999,Not str democrat,Below average,"Gay, lesbian, or homosexual"
2014,62,Working fulltime,0,Never married,0,32.000000,16,Female,Other,Above average,$20000 - 24999,$20000 - 24999,"Ind,near dem",Below average,Heterosexual or straight
2014,63,Other,0,Married,0,47.000000,20,Female,Other,Below average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,64,Working fulltime,0,Never married,0,47.000000,16,Female,Other,Above average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,65,Working fulltime,0,Married,0,34.000000,20,Male,Other,Above average,$25000 or more,$25000 or more,Independent,Above average,Heterosexual or straight
2014,66,Working fulltime,0,Married,2,69.000000,16,Male,White,Above average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,67,Working fulltime,0,Married,0,65.000000,16,Female,White,Average,$25000 or more,$25000 or more,Not str republican,Far above average,Heterosexual or straight
2014,68,Working fulltime,0,Divorced,3,57.000000,18,Male,White,Average,$25000 or more,$25000 or more,Independent,Above average,Heterosexual or straight
2014,69,Working fulltime,0,Never married,0,24.000000,16,Male,White,Far above average,$25000 or more,Not applicable,Not str republican,Below average,Heterosexual or straight
2014,70,Working fulltime,0,Never married,0,32.000000,12,Male,White,Average,$25000 or more,$20000 - 24999,Strong republican,Average,Heterosexual or straight
2014,71,Other,0,Divorced,2,51.000000,14,Male,White,Average,$25000 or more,Not applicable,"Ind,near dem",Below average,Heterosexual or straight
2014,72,Retired,0,Married,2,66.000000,20,Female,White,Average,$25000 or more,$25000 or more,Strong democrat,Average,Heterosexual or straight
2014,73,Working fulltime,0,Married,2,51.000000,16,Female,White,Average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
2014,74,Working fulltime,0,Married,0,27.000000,16,Male,White,Above average,Refused,Refused,Independent,Above average,Heterosexual or straight
2014,75,Working fulltime,0,Married,1,39.000000,20,Female,White,Below average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,76,Keeping house,0,Married,3,41.000000,18,Female,Other,Average,$25000 or more,Not applicable,Independent,Above average,Heterosexual or straight
2014,77,Working fulltime,0,Married,2,54.000000,16,Male,White,Above average,$25000 or more,$25000 or more,Not str democrat,Above average,Heterosexual or straight
2014,78,Working fulltime,0,Divorced,1,58.000000,16,Female,White,Above average,$25000 or more,$25000 or more,Strong democrat,Far above average,Heterosexual or straight
2014,79,Keeping house,0,Married,3,43.000000,12,Male,Other,Far below average,$25000 or more,Not applicable,Independent,Below average,Heterosexual or straight
2014,80,Other,0,Never married,4,55.000000,6,Female,Other,Don't know,$20000 - 24999,Not applicable,"Ind,near dem",Below average,Heterosexual or straight
2014,81,Working fulltime,0,Married,3,51.000000,11,Male,Other,Below average,$10000 - 14999,$8000 to 9999,"Ind,near dem",Below average,Not applicable
2014,82,"Unempl, laid off",0,Never married,1,40.000000,10,Female,Other,Below average,Lt $1000,Not applicable,"Ind,near dem",Below average,Heterosexual or straight
2014,83,"Unempl, laid off",0,Separated,1,35.000000,11,Female,Black,Below average,$3000 to 3999,Not applicable,"Ind,near dem",Far below average,Heterosexual or straight
2014,84,Keeping house,0,Married,0,43.000000,10,Male,Other,Average,Lt $1000,Not applicable,Independent,Below average,Heterosexual or straight
2014,85,Keeping house,0,Never married,2,36.000000,10,Female,Black,Below average,$15000 - 19999,Not applicable,Not str democrat,Below average,Heterosexual or straight
2014,86,Keeping house,0,Never married,3,30.000000,9,Female,Other,Don't know,$10000 - 14999,Not applicable,Strong democrat,Average,Heterosexual or straight
2014,87,"Unempl, laid off",0,Never married,0,56.000000,10,Male,Black,Far above average,$3000 to 3999,Not applicable,Not str democrat,Below average,Heterosexual or straight
2014,88,Working fulltime,0,Married,2,41.000000,16,Male,Black,Average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,89,Working fulltime,0,Never married,2,25.000000,12,Male,White,Average,$25000 or more,$25000 or more,Strong democrat,Average,Heterosexual or straight
2014,90,Working fulltime,0,Never married,0,48.000000,14,Female,Black,Average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
2014,91,Working fulltime,0,Never married,1,45.000000,15,Male,White,Average,$25000 or more,$25000 or more,Not str republican,Above average,Heterosexual or straight
2014,92,Retired,0,Married,5,72.000000,12,Female,Black,Below average,$20000 - 24999,Not applicable,Independent,Below average,Not applicable
2014,93,Other,0,Married,0,27.000000,16,Female,Black,Below average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,94,Working parttime,0,Never married,2,24.000000,8,Female,White,Average,$25000 or more,$15000 - 19999,Independent,Far above average,Not applicable
2014,95,"Unempl, laid off",0,Divorced,3,40.000000,15,Female,Other,Above average,$20000 - 24999,Not applicable,Not str democrat,Far below average,Heterosexual or straight
2014,96,Temp not working,0,Never married,0,26.000000,14,Female,Black,Average,$25000 or more,$25000 or more,Not str democrat,Below average,Heterosexual or straight
2014,97,Temp not working,0,Separated,1,28.000000,13,Female,Other,Below average,$10000 - 14999,Not applicable,Not str democrat,Below average,Heterosexual or straight
2014,98,Working fulltime,0,Never married,2,37.000000,12,Female,Black,Far below average,$25000 or more,$15000 - 19999,"Ind,near dem",Below average,Heterosexual or straight
2014,99,Working fulltime,0,No answer,1,No answer,17,Female,Black,Average,Refused,Refused,No answer,Average,Heterosexual or straight
2014,100,"Unempl, laid off",0,Widowed,NA,62.000000,11,Male,Black,Far below average,Don't know,Not applicable,Strong democrat,Far below average,Not applicable
2014,101,Working fulltime,0,Never married,3,43.000000,13,Female,Black,Above average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,102,Working fulltime,0,Never married,0,32.000000,18,Male,White,Average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,103,Working fulltime,0,Widowed,3,65.000000,12,Female,Black,Far below average,$25000 or more,$25000 or more,Strong democrat,Far below average,Not applicable
2014,104,Working fulltime,0,Married,0,32.000000,16,Female,White,Average,$25000 or more,$25000 or more,"Ind,near dem",Average,Heterosexual or straight
2014,105,Working fulltime,0,Married,0,51.000000,17,Male,White,Average,Refused,Refused,"Ind,near dem",Average,No answer
2014,106,Working fulltime,0,Married,1,41.000000,16,Male,White,Above average,$25000 or more,$25000 or more,Independent,Above average,Heterosexual or straight
2014,107,Retired,0,Widowed,2,81.000000,16,Male,White,Below average,$25000 or more,Not applicable,Strong republican,Average,Heterosexual or straight
2014,108,Retired,0,Divorced,3,74.000000,16,Female,White,Average,$25000 or more,Not applicable,Not str democrat,Below average,Not applicable
2014,109,Working fulltime,0,Married,2,42.000000,20,Male,White,Average,$25000 or more,$25000 or more,"Ind,near rep",Above average,Not applicable
2014,110,Working fulltime,0,Married,3,45.000000,16,Male,White,Average,Refused,Refused,Not str republican,Average,Heterosexual or straight
2014,111,Working fulltime,0,Never married,0,23.000000,16,Male,Black,Average,$25000 or more,Not applicable,Independent,Above average,Heterosexual or straight
2014,112,Working fulltime,0,Never married,0,26.000000,12,Male,Other,Average,$20000 - 24999,$10000 - 14999,Independent,Below average,Heterosexual or straight
2014,113,Working fulltime,0,Married,0,29.000000,12,Female,Other,Far below average,$25000 or more,$25000 or more,Independent,Average,No answer
2014,114,Working fulltime,0,Never married,1,28.000000,12,Male,Other,Average,$25000 or more,$20000 - 24999,"Ind,near dem",Average,Heterosexual or straight
2014,115,Keeping house,0,Married,1,60.000000,16,Female,White,Below average,$15000 - 19999,Not applicable,Not str democrat,Below average,Heterosexual or straight
2014,116,Working fulltime,0,Never married,0,35.000000,18,Female,White,Average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,117,Keeping house,0,Married,3,38.000000,16,Female,Other,Below average,$25000 or more,Not applicable,Strong democrat,Average,Heterosexual or straight
2014,118,Working fulltime,0,Never married,0,30.000000,16,Male,Other,Below average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,119,Working fulltime,0,Married,0,44.000000,20,Male,Other,Below average,$25000 or more,$25000 or more,No answer,Above average,Heterosexual or straight
2014,120,Working fulltime,0,Never married,0,58.000000,16,Female,White,Average,$25000 or more,$25000 or more,"Ind,near dem",Average,"Gay, lesbian, or homosexual"
2014,121,Keeping house,0,Never married,0,41.000000,16,Male,White,Above average,$8000 to 9999,Not applicable,"Ind,near dem",Average,Heterosexual or straight
2014,122,Retired,0,Never married,0,61.000000,18,Female,White,Below average,$25000 or more,Not applicable,Not str democrat,Average,Heterosexual or straight
2014,123,Working parttime,0,Never married,1,56.000000,16,Female,White,Average,$25000 or more,$20000 - 24999,Strong democrat,Average,Heterosexual or straight
2014,124,Retired,0,Widowed,1,79.000000,16,Female,White,Average,$25000 or more,Not applicable,Not str democrat,Average,No answer
2014,125,Working fulltime,0,Never married,0,32.000000,14,Male,White,Average,$25000 or more,$25000 or more,Not str democrat,Above average,Heterosexual or straight
2014,126,Retired,0,Divorced,0,68.000000,19,Female,White,Below average,$25000 or more,Not applicable,Independent,Average,Heterosexual or straight
2014,127,Retired,0,Widowed,2,89 or older,15,Female,White,Above average,$25000 or more,Not applicable,"Ind,near dem",Above average,Not applicable
2014,128,Working fulltime,0,Married,0,38.000000,20,Male,Other,Far below average,$25000 or more,$25000 or more,Not str republican,Far above average,Heterosexual or straight
2014,129,Working fulltime,0,Never married,0,29.000000,16,Female,Black,Below average,$25000 or more,$25000 or more,No answer,Average,No answer
2014,130,Retired,0,Widowed,3,77.000000,17,Male,Black,Far below average,$25000 or more,Not applicable,Strong democrat,Average,Heterosexual or straight
2014,131,Working fulltime,0,Separated,1,47.000000,13,Male,Black,Average,$25000 or more,$20000 - 24999,Strong democrat,Above average,Heterosexual or straight
2014,132,Working fulltime,0,Married,4,53.000000,16,Male,Black,Below average,$25000 or more,$25000 or more,"Ind,near dem",Average,Heterosexual or straight
2014,133,Retired,0,Divorced,0,54.000000,14,Female,Black,Average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,134,Temp not working,0,Divorced,3,64.000000,18,Female,Black,Below average,$25000 or more,$25000 or more,Strong democrat,Average,Heterosexual or straight
2014,135,Other,0,Never married,4,62.000000,16,Female,White,Above average,Don't know,Not applicable,"Ind,near dem",Far below average,Not applicable
2014,136,Working fulltime,0,Never married,0,30.000000,20,Female,White,Above average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,137,Working fulltime,0,Married,2,61.000000,20,Male,White,Far above average,$25000 or more,$25000 or more,Strong republican,Far above average,Heterosexual or straight
2014,138,Retired,0,Never married,2,63.000000,16,Male,White,Below average,$10000 - 14999,Not applicable,Other party,Average,Heterosexual or straight
2014,139,Working fulltime,0,Married,1,41.000000,20,Male,White,Average,$25000 or more,$25000 or more,Not str democrat,Average,Not applicable
2014,140,Working fulltime,0,Married,2,57.000000,16,Female,Other,Above average,$25000 or more,$25000 or more,Independent,Above average,Not applicable
2014,141,Working fulltime,0,Never married,0,29.000000,14,Female,White,Average,$25000 or more,$10000 - 14999,Not str republican,Average,Heterosexual or straight
2014,142,Working fulltime,0,Married,2,40.000000,20,Male,White,Below average,$25000 or more,$25000 or more,Strong republican,Average,Heterosexual or straight
2014,143,Working fulltime,0,Never married,0,21.000000,14,Male,White,Above average,$25000 or more,$20000 - 24999,Independent,Above average,Heterosexual or straight
2014,144,Working fulltime,0,Married,6,55.000000,12,Male,White,Average,$25000 or more,$25000 or more,Independent,Below average,Heterosexual or straight
2014,145,Retired,0,Widowed,4,81.000000,15,Female,White,Don't know,Don't know,Not applicable,Strong republican,Below average,Not applicable
2014,146,Temp not working,0,Married,2,38.000000,17,Female,White,Average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,147,Working fulltime,0,Separated,2,37.000000,12,Male,White,Average,$25000 or more,$8000 to 9999,Other party,Below average,Not applicable
2014,148,Keeping house,0,Married,2,45.000000,18,Female,White,Average,$25000 or more,Not applicable,Strong democrat,Above average,Heterosexual or straight
2014,149,Working fulltime,0,Never married,0,37.000000,16,Female,Black,Above average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,150,Working fulltime,0,Divorced,3,55.000000,16,Male,Other,Average,Refused,Refused,Independent,Average,Not applicable
2014,151,Working parttime,0,Divorced,2,74.000000,16,Female,White,Average,$25000 or more,$10000 - 14999,Independent,Above average,Heterosexual or straight
2014,152,Retired,0,Never married,0,84.000000,20,Female,White,Average,Don't know,Not applicable,Not str democrat,Average,Heterosexual or straight
2014,153,Working fulltime,0,Married,5,54.000000,14,Male,White,Average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
2014,154,Working fulltime,0,Never married,1,23.000000,13,Male,Black,Average,Don't know,$6000 to 6999,Independent,Average,Heterosexual or straight
2014,155,Working parttime,0,Married,1,25.000000,6,Female,Other,Far below average,$15000 - 19999,$4000 to 4999,Strong democrat,Far below average,Heterosexual or straight
2014,156,Retired,0,Divorced,2,81.000000,14,Female,White,Average,$15000 - 19999,Not applicable,Strong democrat,Below average,Heterosexual or straight
2014,157,Working fulltime,0,Married,1,48.000000,14,Male,White,Average,$25000 or more,$25000 or more,"Ind,near rep",Above average,Heterosexual or straight
2014,158,Other,0,Never married,0,46.000000,12,Male,White,Average,$15000 - 19999,Not applicable,Strong republican,Far above average,"Gay, lesbian, or homosexual"
2014,159,Working fulltime,0,Married,6,51.000000,6,Male,Other,Far below average,$25000 or more,$25000 or more,Not str democrat,Far below average,Heterosexual or straight
2014,160,Retired,0,Widowed,0,86.000000,14,Female,Black,Average,$15000 - 19999,Not applicable,Strong democrat,Average,Not applicable
2014,161,Working fulltime,0,Married,2,54.000000,10,Male,Other,Far below average,$25000 or more,$25000 or more,Strong democrat,Average,Heterosexual or straight
2014,162,Working fulltime,0,Never married,0,45.000000,14,Female,White,Below average,$25000 or more,$25000 or more,Independent,Don't know,Not applicable
2014,163,Retired,0,Widowed,3,75.000000,18,Female,White,Don't know,$25000 or more,Not applicable,"Ind,near dem",Average,Heterosexual or straight
2014,164,Working fulltime,0,Never married,0,23.000000,14,Male,White,Below average,$25000 or more,$25000 or more,"Ind,near dem",Average,Heterosexual or straight
2014,165,Working fulltime,0,Divorced,1,63.000000,13,Female,White,Average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,166,Retired,0,Divorced,5,82.000000,12,Female,White,Average,$10000 - 14999,Not applicable,"Ind,near dem",Average,Not applicable
2014,167,Other,0,Divorced,3,50.000000,14,Female,White,Above average,$25000 or more,Not applicable,Independent,Average,Heterosexual or straight
2014,168,Retired,0,Divorced,4,83.000000,18,Male,White,Far below average,$25000 or more,Not applicable,Not str republican,Below average,Heterosexual or straight
2014,169,Retired,0,Married,0,67.000000,19,Male,White,Average,Refused,Not applicable,Strong democrat,Below average,Heterosexual or straight
2014,170,Retired,0,Married,2,84.000000,13,Female,White,Above average,$25000 or more,Not applicable,"Ind,near rep",Above average,Heterosexual or straight
2014,171,Working parttime,0,Divorced,1,59.000000,16,Female,Black,Don't know,$10000 - 14999,Lt $1000,Strong democrat,Far below average,Heterosexual or straight
2014,172,Working fulltime,0,Never married,0,45.000000,20,Female,White,Average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,173,Working fulltime,0,Married,0,55.000000,14,Male,White,Average,$25000 or more,$25000 or more,Not str republican,Average,Heterosexual or straight
2014,174,Keeping house,0,Divorced,1,62.000000,17,Female,White,Above average,$6000 to 6999,Not applicable,Not str republican,Far below average,Heterosexual or straight
2014,175,Retired,0,Divorced,3,77.000000,12,Female,White,Above average,$10000 - 14999,Not applicable,Independent,Below average,Heterosexual or straight
2014,176,Working parttime,0,Never married,0,46.000000,16,Male,White,Below average,$25000 or more,$25000 or more,"Ind,near dem",Average,Heterosexual or straight
2014,177,Retired,0,Divorced,1,59.000000,15,Male,White,Above average,$25000 or more,Not applicable,Independent,Average,Heterosexual or straight
2014,178,Working parttime,0,Never married,0,20.000000,12,Female,Black,Below average,$25000 or more,$3000 to 3999,"Ind,near dem",Below average,Heterosexual or straight
2014,179,Working parttime,0,Separated,7,63.000000,18,Male,White,Below average,$25000 or more,$25000 or more,Strong democrat,Below average,Heterosexual or straight
2014,180,Working fulltime,0,Divorced,0,71.000000,16,Female,White,Above average,$25000 or more,$10000 - 14999,Not str republican,Above average,Heterosexual or straight
2014,181,Working fulltime,0,Never married,0,37.000000,14,Male,Other,Below average,$25000 or more,$25000 or more,"Ind,near dem",Far above average,Heterosexual or straight
2014,182,Keeping house,0,Married,3,27.000000,12,Female,White,Average,$25000 or more,Not applicable,Independent,Average,Not applicable
2014,183,Keeping house,0,Married,2,26.000000,12,Female,White,Below average,$25000 or more,Not applicable,Independent,Average,Heterosexual or straight
2014,184,Working fulltime,0,Never married,1,46.000000,12,Male,White,Below average,$25000 or more,$3000 to 3999,"Ind,near dem",Average,Heterosexual or straight
2014,185,Keeping house,0,Never married,4,56.000000,3,Female,White,Below average,$25000 or more,Not applicable,Independent,Below average,Heterosexual or straight
2014,186,Working parttime,0,Divorced,1,45.000000,14,Female,Other,Below average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,187,Working fulltime,0,Divorced,2,62.000000,12,Male,White,Far below average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,188,Working parttime,0,Never married,0,24.000000,11,Male,Black,Average,Don't know,Not applicable,Independent,Average,Heterosexual or straight
2014,189,Working fulltime,0,Divorced,4,48.000000,16,Male,Black,Far above average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,190,Working fulltime,0,Never married,0,31.000000,14,Male,Black,Average,$25000 or more,$25000 or more,"Ind,near rep",Below average,Heterosexual or straight
2014,191,Working fulltime,0,Never married,0,37.000000,16,Male,Black,Above average,$25000 or more,$25000 or more,Strong democrat,Average,Heterosexual or straight
2014,192,Temp not working,0,Never married,2,35.000000,12,Female,Black,Below average,$20000 - 24999,$20000 - 24999,Strong democrat,Below average,Heterosexual or straight
2014,193,Keeping house,0,Never married,2,26.000000,12,Female,White,Average,$25000 or more,Not applicable,Not str democrat,Average,Heterosexual or straight
2014,194,Working parttime,0,Married,1,54.000000,10,Female,White,Below average,$6000 to 6999,$6000 to 6999,"Ind,near dem",Average,Heterosexual or straight
2014,195,Working fulltime,0,Never married,1,36.000000,13,Female,White,Average,$25000 or more,$25000 or more,Strong democrat,Below average,Bisexual
2014,196,Retired,0,Married,4,79.000000,12,Female,White,Far below average,$10000 - 14999,Not applicable,"Ind,near rep",Average,Heterosexual or straight
2014,197,Retired,0,Divorced,5,78.000000,11,Female,Black,Below average,$10000 - 14999,Not applicable,Strong democrat,Below average,Not applicable
2014,198,Working parttime,0,Never married,0,27.000000,12,Male,White,Average,$20000 - 24999,$20000 - 24999,"Ind,near dem",Below average,Not applicable
2014,199,Working parttime,0,Never married,0,20.000000,14,Female,Other,Average,Don't know,$6000 to 6999,"Ind,near dem",Average,Heterosexual or straight
2014,200,Working fulltime,0,Married,2,41.000000,12,Male,White,Above average,$25000 or more,$25000 or more,Not str republican,Average,Heterosexual or straight
